Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),,,,,
0,,,,,0,-0.056640625,-0.95703125,,,12.33066219,0.072366841,,,,,
0,,,,,0,-0.052734375,-0.962890625,,-0.077752947,12.33054559,0.070796508,,,,,
0.06523,,,,,0,-0.0546875,-0.95703125,,,12.33019641,0.067980232,,,,,
0.033085,,,,,0,-0.052734375,-0.958984375,-9.06E-05,,12.33056698,0.069465497,,,,,
0.095875,,,,,0,-0.052734375,-0.9609375,,,12.33033653,0.067054505,,,,,
0.12372,,,,,0,-0.0546875,-0.9609375,,,12.33007666,0.065974023,,,,,
0.15529,,,,,0,-0.0546875,-0.9609375,-7.00E-05,-0.079814222,12.32970554,0.064304429,,,,,
0.18764,,,,,0,-0.0546875,-0.95703125,,,12.32988784,0.063326871,,,,,
0.22024,,,,,0,-0.052734375,-0.95703125,,,12.32958813,0.061349079,,,,,
0.25263,,,,,0,-0.052734375,-0.958984375,,,12.32952297,0.061532773,,,,,
0.30134,,,,,0,-0.0546875,-0.9609375,,,12.33016523,0.060349055,,,,,
0.349365,,,,,0,-0.0546875,-0.9609375,-0.000158512,-0.080495749,12.33030888,0.06081186,,,,,
0.37781,,,,,0,-0.0546875,-0.95703125,,,12.32998198,0.059280639,,,,,
0.405515,,,,,0,-0.0546875,-0.9609375,,,12.32995592,0.058320662,,,,,
0.43323,,,,,0,-0.052734375,-0.962890625,,,12.33009102,0.057896021,,,,,
0.469775,,,,,0,-0.052734375,-0.9609375,-0.0001822,-0.080535471,12.3300729,0.059030159,,,,,
0.499475,,,,,0,-0.0546875,-0.958984375,,,12.33015324,0.05952037,,,,,
0.529885,,,,,0,-0.052734375,-0.958984375,,,12.33042433,0.060161821,,,,,
0.56194,,,,,0,-0.052734375,-0.9609375,,,12.33046867,0.060024778,,,,,
0.59735,,,,,0,-0.052734375,-0.9609375,,-0.077509738,12.33044195,0.060875297,,,,,
0.643765,,,,,0,-0.052734375,-0.9609375,-0.000157969,,12.33006206,0.061996457,,,,,
0.698925,,,,,0,-0.052734375,-0.958984375,,,12.32992502,0.064750217,,,,,
0.74386,,,,,0,-0.052734375,-0.958984375,,,12.32984895,0.064058491,,,,,
0.775315,,,,,0,-0.052734375,-0.9609375,-0.000126474,-0.070023471,12.32956309,0.064391312,,,,,
0.81518,,,,,0,-0.052734375,-0.9609375,,,12.3299648,0.065431511,,,,,
0.8496,,,,,0,-0.0546875,-0.958984375,,,12.33007716,0.065843419,,,,,
0.884745,,,,,0,-0.052734375,-0.958984375,,,12.33029783,0.065786709,,,,,
0.919835,,,,,0,-0.0546875,-0.962890625,-0.000111314,-0.072796639,12.33010851,0.06517292,,,,,
0.95784,,,,,0,-0.0546875,-0.9609375,,,12.33008585,0.065550059,,,,,
1.01796,,,,,0,-0.052734375,-0.958984375,,,12.32997539,0.066801636,,,,,
1.05486,,,,,0,-0.052734375,-0.958984375,-0.000115265,-0.068929415,12.33027077,0.065450459,,,,,
1.091725,,,,,0,-0.0546875,-0.9609375,,,12.33040811,0.065648238,,,,,
1.12488,,,,,-0.015625,-0.03125,-0.966796875,,,12.33030303,0.063055511,,,,,
1.156865,,,,,0,-0.046875,-0.955078125,,,12.33027711,0.062801381,,,,,
1.188865,,,,,-0.025390625,-0.029296875,-0.962890625,,-0.074498947,12.33022805,0.063647009,,,,,
1.218185,,,,,-0.01953125,-0.02734375,-0.97265625,-0.000152442,,12.33024697,0.064053653,,,,,
1.244955,,,,,-0.009765625,-0.013671875,-0.99609375,,,12.3299554,0.062383904,,,,,
1.307665,,,,,-0.01953125,-0.0390625,-0.98046875,,,12.33032719,0.062560756,,,,,
1.334,,,,,-0.009765625,-0.037109375,-0.96484375,,-0.077513587,12.33041174,0.062670728,,,,,
1.373035,,,,,0,-0.04296875,-0.966796875,-0.000121497,,12.33055554,0.062501955,,,,,
1.40506,,,,,-0.0078125,-0.044921875,-0.9609375,,,12.33062862,0.061872252,,,,,
1.43749,,,,,0,-0.0546875,-0.9609375,,,12.33063594,0.061568736,,,,,
1.463535,,,,,0,-0.05078125,-0.958984375,,,12.33039005,0.060876341,,,,,
1.492795,,,,,0,-0.0546875,-0.958984375,-2.44E-06,-0.078834272,12.33025795,0.062128054,,,,,
1.523085,,,,,0,-0.0546875,-0.95703125,,,12.33030526,0.061840588,,,,,
1.555385,,,,,0,-0.05078125,-0.958984375,,,12.3305624,0.062070723,,,,,
1.582155,,,,,-0.01953125,-0.025390625,-0.978515625,,,12.33063019,0.061659382,,,,,
1.61429,,,,,0,-0.0390625,-0.98828125,,,12.33068111,0.059491516,,,,,
1.64468,,,,,0,-0.0546875,-0.98046875,2.96E-06,-0.078701242,12.33027378,0.058911741,,,,,
1.680715,,,,,0,-0.03515625,-0.994140625,,,12.33025695,0.057354452,,,,,
1.717995,,,,,0,-0.0546875,-0.96484375,,,12.3300978,0.056796335,,,,,
1.7458,,,,,0,-0.0546875,-0.9609375,,,12.32997555,0.056875628,,,,,
1.774625,,,,,0,-0.052734375,-0.9609375,,,12.33044323,0.056513249,,,,,
1.804,,,,,0,-0.052734375,-0.958984375,9.70E-05,-0.067750443,12.33050329,0.057518089,,,,,
1.86031,,,,,0,-0.0546875,-0.9609375,,,12.33064291,0.058732453,,,,,
1.90324,,,,,0,-0.0546875,-0.958984375,,,12.33048186,0.060145228,,,,,
1.93723,,,,,0,-0.052734375,-0.9609375,,-0.060877149,12.3307731,0.060784008,,,,,
1.96312,,,,,0,-0.052734375,-0.958984375,-4.22E-05,,12.33080749,0.061312513,,,,,
1.993305,,,,,0,-0.0546875,-0.958984375,,,12.33094979,0.06038981,,,,,
2.034165,,,,,0,-0.052734375,-0.958984375,,,12.33083366,0.061248545,,,,,
2.067535,,,,,0,-0.052734375,-0.962890625,,,12.33056311,0.061453312,,,,,
2.09713,,,,,0,-0.0546875,-0.9609375,-7.05E-05,-0.041980832,12.33103168,0.062621575,,,,,
2.136125,,,,,0,-0.052734375,-0.95703125,,,12.33102511,0.063509631,,,,,
2.16633,,,,,0,-0.052734375,-0.9609375,,,12.3309468,0.063262214,,,,,
2.196945,,,,,0,-0.0546875,-0.962890625,,,12.33106451,0.063430051,,,,,
2.2525,,,,,0,-0.052734375,-0.9609375,,,12.33074795,0.066352835,,,,,
2.305125,,,,,0,-0.052734375,-0.958984375,-8.27E-05,-0.033555917,12.33110107,0.06849135,,,,,
2.33272,,,,,0,-0.0546875,-0.9609375,,,12.33098862,0.069567503,,,,,
2.36039,,,,,0,-0.052734375,-0.962890625,,,12.33113857,0.070979998,,,,,
2.39419,,,,,0,-0.0546875,-0.9609375,,-0.051685375,12.331093,0.072408548,,,,,
2.423535,,,,,0,-0.052734375,-0.958984375,-7.41E-05,,12.3308836,0.072485617,,,,,
2.459395,,,,,0,-0.0546875,-0.958984375,,,12.33054557,0.074992583,,,,,
2.486865,,,,,0,-0.052734375,-0.958984375,,,12.33041404,0.076264525,,,,,
2.51644,,,,,0,-0.052734375,-0.9609375,,,12.33047545,0.077644564,,,,,
2.546965,,,,,0,-0.0546875,-0.9609375,-0.000120542,-0.070293564,12.33062228,0.079202283,,,,,
2.574525,,,,,0,-0.052734375,-0.9609375,,,12.33031067,0.079419651,,,,,
2.605225,,,,,0,-0.052734375,-0.9609375,,,12.33039557,0.079533659,,,,,
2.63313,,,,,0,-0.052734375,-0.9609375,,,12.33043949,0.080092801,,,,,
2.668015,,,,,0,-0.0546875,-0.9609375,,,12.33028276,0.081003211,,,,,
2.704295,,,,,0,-0.052734375,-0.9609375,-0.000163628,-0.078018855,12.33038606,0.081030024,,,,,
2.741415,,,,,0,-0.052734375,-0.958984375,,,12.33083801,0.082448491,,,,,
2.772455,,,,,0,-0.052734375,-0.958984375,,,12.33063855,0.082176244,,,,,
2.79807,,,,,0,-0.052734375,-0.9609375,,,12.33044355,0.082909567,,,,,
2.840055,,,,,0,-0.0546875,-0.9609375,,-0.072904666,12.33059064,0.08065939,,,,,
2.871635,,,,,0,-0.0546875,-0.9609375,-0.000151765,,12.33052618,0.079364961,,,,,
2.90135,,,,,0,-0.0546875,-0.9609375,,,12.3303808,0.079982805,,,,,
2.933675,,,,,0,-0.0546875,-0.958984375,,,12.33041081,0.079482357,,,,,
2.972665,,,,,0,-0.0546875,-0.9609375,,,12.33035556,0.078701203,,,,,
3.00731,,,,,0,-0.052734375,-0.9609375,-0.000173294,-0.070298903,12.3302359,0.078593605,,,,,
3.043115,,,,,0,-0.0546875,-0.9609375,,,12.32990033,0.078185071,,,,,
3.076145,,,,,0,-0.052734375,-0.9609375,,,12.33024333,0.077514691,,,,,
3.105565,,,,,0,-0.0546875,-0.958984375,,,12.33033213,0.077364404,,,,,
3.137165,,,,,0,-0.052734375,-0.9609375,,-0.070421906,12.32998792,0.076107077,,,,,
3.16788,,,,,0,-0.052734375,-0.958984375,-0.000192302,,12.32993569,0.076170987,,,,,
3.20308,,,,,0,-0.0546875,-0.958984375,,,12.33008967,0.074871325,,,,,
3.231855,,,,,0,-0.052734375,-0.958984375,,,12.32999933,0.073925675,,,,,
3.271385,,,,,0,-0.052734375,-0.9609375,,,12.33011838,0.072330658,,,,,
3.306765,,,,,0,-0.052734375,-0.962890625,-0.000203181,-0.070486541,12.33038724,0.069723083,,,,,
3.33925,,,,,0,-0.052734375,-0.958984375,,,12.33046929,0.067902172,,,,,
3.371625,,,,,0,-0.0546875,-0.958984375,,,12.33034285,0.066783214,,,,,
3.40956,,,,,0,-0.0546875,-0.9609375,,,12.33036817,0.064589725,,,,,
3.44911,,,,,0,-0.0546875,-0.9609375,,-0.069573489,12.33022433,0.063883968,,,,,
3.486215,,,,,0,-0.0546875,-0.958984375,-0.000200648,,12.33031612,0.063328811,,,,,
3.51515,,,,,0,-0.0546875,-0.9609375,,,12.3303559,0.062163916,,,,,
3.547,,,,,0,-0.052734375,-0.9609375,,,12.33016079,0.060238824,,,,,
3.57361,,,,,0,-0.0546875,-0.958984375,,-0.069210032,12.32993933,0.060259003,,,,,
3.612645,,,,,0,-0.0546875,-0.958984375,-0.000194815,,12.33021187,0.057999974,,,,,
3.64419,,,,,0,-0.052734375,-0.9609375,,,12.33043667,0.058222779,,,,,
3.676485,,,,,0,-0.0546875,-0.9609375,,,12.33020649,0.058742275,,,,,
3.70271,,,,,0,-0.052734375,-0.9609375,,,12.33024872,0.058470924,,,,,
3.747915,,,,,0,-0.052734375,-0.958984375,,-0.073070804,12.32999134,0.059942794,,,,,
3.779285,,,,,0,-0.052734375,-0.9609375,-9.90E-05,,12.33001389,0.058988059,,,,,
3.81029,,,,,0,-0.0546875,-0.9609375,,,12.33024705,0.058343529,,,,,
3.83918,,,,,0,-0.052734375,-0.9609375,,,12.3302373,0.058382204,,,,,
3.877755,,,,,0,-0.0546875,-0.958984375,,,12.33063286,0.058247112,,,,,
3.907275,,,,,0,-0.052734375,-0.9609375,-6.74E-05,-0.077351014,12.33071905,0.057600235,,,,,
