Attr_prob_0,Attr_prob_10,Attr_prob_20,Attr_prob_30,Attr_prob_40,Attr_prob_50,Attr_prob_60,Attr_prob_70,Attr_prob_80,Attr_prob_90,Attr_prob_100,Strike_prob_0,Strike_prob_10,Strike_prob_20,Strike_prob_30,Strike_prob_40,Strike_prob_50,Strike_prob_60,Strike_prob_70,Strike_prob_80,Strike_prob_90,Strike_prob_100,E2-C2_prob_0,E2-C2_prob_10,E2-C2_prob_20,E2-C2_prob_30,E2-C2_prob_40,E2-C2_prob_50,E2-C2_prob_60,E2-C2_prob_70,E2-C2_prob_80,E2-C2_prob_90,E2-C2_prob_100,Heli_prob_0,Heli_prob_10,Heli_prob_20,Heli_prob_30,Heli_prob_40,Heli_prob_50,Heli_prob_60,Heli_prob_70,Heli_prob_80,Heli_prob_90,Heli_prob_100,Heli_prob_100
39,34,38,42,33,23,24,18,26,26,18,51,48,48,55,50,48,55,63,63,65,71,64,74,85,92,93,85,88,93,91,91,85,45,57,61,55,65,61,73,69,80,74,76,76
24,18,15,11,11,6,5,14,26,20,28,65,68,64,56,66,56,49,57,61,53,54,77,72,69,64,59,60,66,60,60,64,75,74,69,75,62,64,65,67,73,72,69,65,65
8,8,5,14,10,6,10,15,15,12,12,84,81,71,74,83,89,85,83,74,78,76,92,90,91,90,93,90,92,94,89,94,89,86,80,72,78,82,87,79,68,76,83,80,80
35,35,42,35,37,41,39,43,47,49,46,60,67,71,65,55,45,37,45,40,30,36,67,60,62,67,66,63,70,61,54,59,56,64,63,58,50,48,39,45,43,40,48,53,53
50,53,57,45,35,32,19,27,23,22,11,41,38,43,51,50,56,53,61,69,69,69,50,52,48,60,57,60,55,65,75,86,91,45,41,44,56,66,67,77,75,72,76,80,80
8,5,16,20,15,12,8,7,10,16,13,74,79,89,81,88,81,90,84,85,78,77,95,94,93,87,87,92,86,83,84,77,87,81,76,78,79,79,77,71,70,77,87,86,86
18,16,27,23,18,13,19,16,21,25,22,69,65,66,67,67,63,61,64,59,57,62,83,78,73,78,76,67,66,57,62,71,80,76,68,62,69,69,72,68,67,67,76,69,69
41,40,45,32,34,37,38,33,24,26,31,42,44,39,42,39,47,43,45,49,48,53,62,57,64,61,70,67,65,66,71,76,70,49,56,58,59,60,63,58,55,62,65,65,65
9,9,6,11,9,17,14,17,11,13,16,89,94,93,88,94,92,93,85,79,73,73,93,94,84,88,86,91,87,90,87,90,85,89,92,85,87,81,80,70,61,58,67,70,70
26,33,41,33,25,17,23,15,11,8,9,65,72,74,65,76,76,86,85,80,81,75,77,83,78,87,84,83,89,88,89,94,94,65,71,76,77,73,73,81,73,82,83,78,78
32,30,34,36,38,36,40,34,28,18,14,61,59,60,59,58,59,70,66,76,82,84,70,66,65,72,69,69,80,74,85,93,90,67,58,53,52,56,57,64,68,69,71,80,80
42,46,52,42,40,30,26,32,26,19,24,40,36,39,41,44,49,52,54,54,62,69,59,62,64,63,62,58,68,68,75,79,77,48,57,56,58,61,65,64,65,63,69,70,70
27,30,37,36,41,45,43,31,37,32,26,58,61,61,55,57,51,49,54,50,62,56,73,70,74,67,71,66,74,76,84,73,75,71,66,64,72,74,72,76,66,59,58,59,59
11,6,6,19,14,13,20,23,36,35,43,70,62,61,53,54,45,41,34,34,36,38,91,88,79,84,74,69,62,66,62,62,63,84,79,66,65,69,64,67,57,56,43,43,43
