Time (s),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Electrical Power (W),Vibration (g)
0,-0.0625,-0.013671875,-0.9453125,-0.000679158,-1.629669025,12.26608868,0.069291662,3500,0.84993767,0.05859375
0,-0.0625,-0.013671875,-0.943359375,-0.000679158,-1.629669025,12.26597468,0.069643575,3500,0.854246327,0.05859375
0.032765,-0.0625,-0.013671875,-0.9453125,-0.000679158,-1.629669025,12.26587838,0.070265125,3500,0.861863477,0.05859375
0.08165,-0.0625,-0.01171875,-0.94140625,-0.000679158,-1.754112735,12.26591391,0.072565722,3500,0.890084894,0.05859375
0.10863,-0.0625,-0.013671875,-0.9453125,-0.000679158,-1.754112735,12.26602896,0.073165099,3500,0.897445224,0.05859375
0.14516,-0.0625,-0.013671875,-0.9453125,-0.000679158,-1.754112735,12.26633507,0.073433459,3500,0.900759413,0.05859375
0.17449,-0.0625,-0.01171875,-0.9453125,-0.000679158,-1.754112735,12.26647278,0.072910842,4000,0.894358861,0.05859375
0.206695,-0.0625,-0.013671875,-0.9453125,-0.000679158,-1.850271688,12.26650457,0.072300309,4000,0.886872075,0.05859375
0.234185,-0.0625,-0.013671875,-0.9453125,-0.000679158,-1.850271688,12.26664413,0.071100722,4000,0.872167252,0.05859375
0.25685,-0.0625,-0.013671875,-0.943359375,-0.000706793,-1.850271688,12.26666469,0.070610124,4000,0.86615072,0.05859375
0.282175,-0.0625,-0.01171875,-0.943359375,-0.000706793,-1.850271688,12.26679577,0.069801435,4000,0.856239954,0.05859375
0.30633,-0.0625,-0.01171875,-0.9453125,-0.000706793,-1.850271688,12.26671601,0.069902819,4000,0.85747803,0.05859375
0.33163,-0.0625,-0.013671875,-0.943359375,-0.000706793,-1.900274658,12.26697184,0.070637632,4000,0.866509837,0.05859375
0.36538,-0.0625,-0.013671875,-0.9453125,-0.000706793,-1.900274658,12.26729909,0.071073742,2500,0.871882855,0.05859375
0.41353,-0.0625,-0.013671875,-0.9453125,-0.000703184,-1.900274658,12.26732494,0.066891133,2500,0.820575268,0.05859375
0.449265,-0.0625,-0.013671875,-0.943359375,-0.000703184,-1.900274658,12.26706027,0.066967829,2500,0.821498389,0.05859375
0.47519,-0.0625,-0.013671875,-0.9453125,-0.000703184,-1.900274658,12.26694096,0.066644007,2500,0.817518105,0.05859375
0.49924,-0.0625,-0.013671875,-0.9453125,-0.000703184,-1.778701598,12.26733925,0.067646207,2500,0.829838971,0.05859375
0.52809,-0.0625,-0.01171875,-0.9453125,-0.000703184,-1.778701598,12.26785205,0.06715316,2500,0.823825026,0.05859375
0.561195,-0.0625,-0.013671875,-0.9453125,-0.00067994,-1.778701598,12.26746309,0.065971092,2500,0.809297934,0.05859375
0.584285,-0.0625,-0.015625,-0.943359375,-0.00067994,-1.778701598,12.26758187,0.066095425,3200,0.810831041,0.05859375
0.60899,-0.0625,-0.01171875,-0.943359375,-0.00067994,-1.778701598,12.2675702,0.067287302,3200,0.825451697,0.05859375
0.636965,-0.0625,-0.01171875,-0.9453125,-0.00067994,-1.778701598,12.26770217,0.069321112,3200,0.850410751,0.05859375
0.665995,-0.0625,-0.01171875,-0.943359375,-0.00067994,-1.778701598,12.2678184,0.070135525,3200,0.860409888,0.05859375
0.700235,-0.0625,-0.01171875,-0.9453125,-0.000684279,-1.778701598,12.26773203,0.071962672,3200,0.882818781,0.05859375
